Reading_ID,Date,Shift_ID,Section_Code,Station_Code,Machine_Code,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Predicted_Failure_Probability,Predicted_Failure
290,07-06-2026,B,CB,CB02,MC-CB02,292.5,303.7,1519,51.2,159.7,0,0
291,07-06-2026,B,BP,BP03,MC-BP03,296.4,307.6,1378,45.5,53.9,0.005,0
292,07-06-2026,B,PS,PS01,MC-PS01,300.8,311.1,1540,40.6,239.7,0.115,0
293,07-06-2026,B,PS,PS02,MC-PS02,299.8,310.1,1579,35.4,135.9,0,0
294,07-06-2026,B,PS,PS03,MC-PS03,296.8,306.9,1464,44.5,82.6,0,0
295,07-06-2026,B,PS,PS04,MC-PS04,299,310.1,1573,39.5,123.6,0,0
296,07-06-2026,B,WB,WB01,MC-WB01,297,306.4,1342,43.4,77.9,0,0
297,07-06-2026,B,WB,WB03,MC-WB03,299.8,309.4,1508,28.5,202.4,0,0
298,07-06-2026,B,FA,FA02,MC-FA02,299.9,310.2,1349,35.9,174.1,0,0
299,07-06-2026,B,FI,FI02,MC-FI02,299.9,310.3,1728,39.1,220.7,0.005,0
300,07-06-2026,B,FI,FI03,MC-FI03,296.6,306.1,1381,36.5,36.4,0,0
301,07-06-2026,C,EA,EA01,MC-EA01,301.5,311.2,1668,57.2,8,0,0
302,07-06-2026,C,EA,EA02,MC-EA02,299.1,308.1,1448,11.9,136.8,0,0
303,07-06-2026,C,EA,EA03,MC-EA03,296.7,306.6,1453,36,37.2,0,0
304,07-06-2026,C,CB,CB01,MC-CB01,297.3,308,1818,33.9,219.3,0,0
305,07-06-2026,C,CB,CB02,MC-CB02,296.9,307.3,1520,53.6,202.2,0,0
306,07-06-2026,C,BP,BP03,MC-BP03,295.1,305.4,1629,46.4,2,0,0
307,07-06-2026,C,PS,PS01,MC-PS01,297.9,307.7,1526,45.1,223.1,0.04,0
308,07-06-2026,C,PS,PS02,MC-PS02,298.7,308.1,1533,36,246.7,0.055,0
309,07-06-2026,C,PS,PS03,MC-PS03,297.9,308.7,1583,43.2,131.9,0,0
310,07-06-2026,C,PS,PS04,MC-PS04,296.1,307.8,1737,42.6,226.3,0,0
311,07-06-2026,C,WB,WB01,MC-WB01,297.5,307.7,1505,43.1,70.6,0,0
312,07-06-2026,C,WB,WB03,MC-WB03,298.5,308.3,1613,45.3,164.5,0,0
313,07-06-2026,C,FA,FA02,MC-FA02,299.4,308,1544,42.1,118.5,0,0
314,07-06-2026,C,FI,FI02,MC-FI02,301,311.7,1372,38.2,46.7,0,0
315,07-06-2026,C,FI,FI03,MC-FI03,296.7,306.6,1450,55.8,186.5,0,0
316,08-06-2026,A,EA,EA01,MC-EA01,297.7,306.4,1412,34.2,33.9,0,0
317,08-06-2026,A,EA,EA02,MC-EA02,297.3,308.8,1540,43.9,220.5,0.005,0
318,08-06-2026,A,EA,EA03,MC-EA03,296.6,306.4,1584,31.7,236.3,0.005,0
319,08-06-2026,A,CB,CB01,MC-CB01,297.6,306.9,1619,32,233.7,0,0
320,08-06-2026,A,CB,CB02,MC-CB02,300.3,310.3,1493,46.5,0.9,0,0
321,08-06-2026,A,BP,BP03,MC-BP03,299.6,309.6,1262,43.4,198,0,0
322,08-06-2026,A,PS,PS01,MC-PS01,296.7,305.9,1541,40.1,190.6,0,0
323,08-06-2026,A,PS,PS02,MC-PS02,297.9,307.9,1160,50.5,76.9,0,0
324,08-06-2026,A,PS,PS03,MC-PS03,294.8,304.7,1257,36,211.6,0,0
325,08-06-2026,A,PS,PS04,MC-PS04,297,308.7,1550,52.7,27.2,0,0
326,08-06-2026,A,WB,WB01,MC-WB01,295.9,306.4,1718,40.6,117,0,0
327,08-06-2026,A,WB,WB03,MC-WB03,300,311.4,1440,39.2,248.7,0.22,0
328,08-06-2026,A,FA,FA02,MC-FA02,297.1,308.3,1382,44.4,34.6,0,0
329,08-06-2026,A,FI,FI02,MC-FI02,296.9,306.1,1251,36.5,166.7,0.005,0
330,08-06-2026,A,FI,FI03,MC-FI03,298.2,308.3,1264,27.1,176.4,0,0
331,08-06-2026,B,EA,EA01,MC-EA01,295.1,304.4,1449,40.7,32,0,0
332,08-06-2026,B,EA,EA02,MC-EA02,296.1,307,1350,42,155.5,0,0
333,08-06-2026,B,EA,EA03,MC-EA03,295.2,305.1,1425,31.9,134,0,0
334,08-06-2026,B,CB,CB01,MC-CB01,300.4,309.1,1141,37.5,94.7,0,0
335,08-06-2026,B,CB,CB02,MC-CB02,297.2,307.6,1672,14.1,71.8,0,0
336,08-06-2026,B,BP,BP03,MC-BP03,295.7,305.1,1458,60,52,0,0
337,08-06-2026,B,PS,PS01,MC-PS01,299.9,312.3,1293,45.3,229,0.09,0
338,08-06-2026,B,PS,PS02,MC-PS02,299.4,309.7,1661,41.5,65,0,0
339,08-06-2026,B,PS,PS03,MC-PS03,294.8,304.7,1651,12.9,155.2,0,0
340,08-06-2026,B,PS,PS04,MC-PS04,299.1,309.1,1585,37.6,119.8,0,0
341,08-06-2026,B,WB,WB01,MC-WB01,301,310.9,1378,46.7,45,0,0
342,08-06-2026,B,WB,WB03,MC-WB03,297.1,305.8,1192,41.7,178.7,0,0
343,08-06-2026,B,FA,FA02,MC-FA02,297.9,305.5,1290,44.1,137.9,0,0
344,08-06-2026,B,FI,FI02,MC-FI02,297.9,308.4,1401,46,51.2,0,0
345,08-06-2026,B,FI,FI03,MC-FI03,299.1,308.9,1413,41.8,36.8,0,0
346,08-06-2026,C,EA,EA01,MC-EA01,297.6,307.3,1630,52,153.1,0,0
347,08-06-2026,C,EA,EA02,MC-EA02,296.4,307.4,1308,27.9,247.9,0.025,0
348,08-06-2026,C,EA,EA03,MC-EA03,297.3,308.2,1770,40,39.2,0,0
349,08-06-2026,C,CB,CB01,MC-CB01,298.2,308.6,1243,45.5,169.3,0,0
350,08-06-2026,C,CB,CB02,MC-CB02,296,306.2,1556,45.6,116.9,0,0
351,08-06-2026,C,BP,BP03,MC-BP03,302.6,312.2,1356,25.8,153.9,0,0
352,08-06-2026,C,PS,PS01,MC-PS01,296.4,306.4,1297,55.8,130.8,0.005,0
353,08-06-2026,C,PS,PS02,MC-PS02,296.2,306.4,1681,42.6,238.8,0.015,0
354,08-06-2026,C,PS,PS03,MC-PS03,297.3,307.9,1549,49.5,197.9,0,0
355,08-06-2026,C,PS,PS04,MC-PS04,300.1,310.5,1260,38.7,143.6,0,0
356,08-06-2026,C,WB,WB01,MC-WB01,297.5,307.6,1648,27.1,108.4,0,0
357,08-06-2026,C,WB,WB03,MC-WB03,298.9,307.4,1575,25,220.3,0,0
358,08-06-2026,C,FA,FA02,MC-FA02,299.1,310.1,1251,57.6,221.2,0.81,1
359,08-06-2026,C,FI,FI02,MC-FI02,300,311.9,1380,40.4,223.9,0.035,0
360,08-06-2026,C,FI,FI03,MC-FI03,298.8,311,1619,34.4,43.2,0,0
361,09-06-2026,A,EA,EA01,MC-EA01,298,307.4,1542,49.7,68,0,0
362,09-06-2026,A,EA,EA02,MC-EA02,299.5,309.9,1726,54.8,154.6,0,0
363,09-06-2026,A,EA,EA03,MC-EA03,299.2,308.1,1274,39.1,171,0,0
364,09-06-2026,A,CB,CB01,MC-CB01,295.6,306.3,1331,26.1,7.8,0,0
365,09-06-2026,A,CB,CB02,MC-CB02,295.9,306.3,1324,57.7,216.6,0,0
366,09-06-2026,A,BP,BP03,MC-BP03,298.2,308.4,1267,43.3,39.5,0,0
367,09-06-2026,A,PS,PS01,MC-PS01,298.4,307.3,1636,40.8,155,0,0
368,09-06-2026,A,PS,PS02,MC-PS02,297,307.3,1787,53.8,146.6,0,0
369,09-06-2026,A,PS,PS03,MC-PS03,296.8,306,1428,69.7,101.5,0,0
370,09-06-2026,A,PS,PS04,MC-PS04,296,306.5,1639,22.7,109.3,0,0
371,09-06-2026,A,WB,WB01,MC-WB01,295.2,304.3,1613,49.8,138.3,0,0
372,09-06-2026,A,WB,WB03,MC-WB03,301.1,311.1,1464,58.2,194.9,0,0
373,09-06-2026,A,FA,FA02,MC-FA02,300.1,309.6,1273,50,247.2,0.355,1
374,09-06-2026,A,FI,FI02,MC-FI02,299.3,310.5,1194,43.8,240.9,0.1,0
375,09-06-2026,A,FI,FI03,MC-FI03,297.9,307.1,1570,25,92,0,0
376,09-06-2026,B,EA,EA01,MC-EA01,295.1,305.5,1672,46.1,244.5,0.035,0
377,09-06-2026,B,EA,EA02,MC-EA02,298.9,308.9,1481,51,46.6,0,0
378,09-06-2026,B,EA,EA03,MC-EA03,298.4,308.7,1515,39.7,34.8,0.005,0
379,09-06-2026,B,CB,CB01,MC-CB01,295.9,304.1,1380,44.1,234.2,0.035,0
380,09-06-2026,B,CB,CB02,MC-CB02,299.4,309.7,1571,48,40.1,0,0
381,09-06-2026,B,BP,BP03,MC-BP03,297.1,307,1339,35.8,233.6,0.015,0
382,09-06-2026,B,PS,PS01,MC-PS01,294.5,303,1687,24.8,6.7,0,0
383,09-06-2026,B,PS,PS02,MC-PS02,299.9,309.5,1533,38.1,234.4,0.115,0
384,09-06-2026,B,PS,PS03,MC-PS03,299.7,309.6,1414,32.4,19,0,0
385,09-06-2026,B,PS,PS04,MC-PS04,299.2,308.8,1570,51.9,53.4,0,0
386,09-06-2026,B,WB,WB01,MC-WB01,298.4,307.5,1369,42.4,228.7,0.01,0
387,09-06-2026,B,WB,WB03,MC-WB03,294.2,305.3,1666,28.5,120.4,0,0
388,09-06-2026,B,FA,FA02,MC-FA02,299.6,309.4,1447,40,248.4,0.23,0
389,09-06-2026,B,FI,FI02,MC-FI02,298.9,308.3,1196,41,85.7,0,0
390,09-06-2026,B,FI,FI03,MC-FI03,298.6,309.2,1304,47.6,87.6,0.005,0
391,09-06-2026,C,EA,EA01,MC-EA01,298.4,309.3,1733,51.6,143.9,0,0
392,09-06-2026,C,EA,EA02,MC-EA02,298.6,308.8,1549,30.2,118.4,0,0
393,09-06-2026,C,EA,EA03,MC-EA03,301.1,310.1,1554,44.4,28.3,0,0
394,09-06-2026,C,CB,CB01,MC-CB01,292.5,303,1192,38.3,169.4,0,0
395,09-06-2026,C,CB,CB02,MC-CB02,299.9,307.8,1293,32.4,146.2,0,0
396,09-06-2026,C,BP,BP03,MC-BP03,297.6,307.7,1496,39.9,154,0,0
397,09-06-2026,C,PS,PS01,MC-PS01,298.4,308.3,1606,10.9,202.5,0,0
398,09-06-2026,C,PS,PS02,MC-PS02,297.8,309,1247,63.1,149.3,0.01,0
399,09-06-2026,C,PS,PS03,MC-PS03,296.3,305.3,1393,40,72.3,0,0
400,09-06-2026,C,PS,PS04,MC-PS04,296.9,307.5,1364,40.9,107.4,0,0
401,09-06-2026,C,WB,WB01,MC-WB01,297.8,308.1,1755,41.8,241.9,0.1,0
402,09-06-2026,C,WB,WB03,MC-WB03,297,307.7,1775,57.6,105,0.035,0
403,09-06-2026,C,FA,FA02,MC-FA02,300.2,311,1145,31.3,74.9,0,0
404,09-06-2026,C,FI,FI02,MC-FI02,298.1,308.6,1318,48.5,93.9,0,0
405,09-06-2026,C,FI,FI03,MC-FI03,301.7,311.2,1212,35.2,63.8,0,0
406,10-06-2026,A,EA,EA01,MC-EA01,297.5,306.5,1577,54.3,46.1,0,0
407,10-06-2026,A,EA,EA02,MC-EA02,298.1,308.5,1349,39.1,145.8,0,0
408,10-06-2026,A,EA,EA03,MC-EA03,299.8,310,1197,46.7,122.6,0,0
409,10-06-2026,A,CB,CB01,MC-CB01,300.5,311.7,1506,30.9,199.7,0.005,0
410,10-06-2026,A,CB,CB02,MC-CB02,291.7,301,1603,36.4,236.3,0.005,0
411,10-06-2026,A,BP,BP03,MC-BP03,299,309.6,1575,53.4,130.7,0,0
412,10-06-2026,A,PS,PS01,MC-PS01,295.2,305.3,1315,29.3,131.7,0,0
413,10-06-2026,A,PS,PS02,MC-PS02,297.6,309.4,1556,34.6,31.4,0,0
414,10-06-2026,A,PS,PS03,MC-PS03,298.3,308.8,1714,44.3,3.9,0,0
415,10-06-2026,A,PS,PS04,MC-PS04,298.5,308.1,1212,35,98.9,0,0
416,10-06-2026,A,WB,WB01,MC-WB01,298.4,308.2,1417,36.7,209.1,0,0
417,10-06-2026,A,WB,WB03,MC-WB03,297.4,307.5,1566,30.6,239,0,0
418,10-06-2026,A,FA,FA02,MC-FA02,298,308.7,1398,34.4,46.8,0,0
419,10-06-2026,A,FI,FI02,MC-FI02,298.3,309.1,1682,44.8,46.4,0,0
420,10-06-2026,A,FI,FI03,MC-FI03,298.5,308.3,1556,48.4,11.5,0,0
421,10-06-2026,B,EA,EA01,MC-EA01,298.2,306.7,1630,39.2,133.1,0,0
422,10-06-2026,B,EA,EA02,MC-EA02,299.9,308.9,1469,26.6,37,0,0
423,10-06-2026,B,EA,EA03,MC-EA03,298.3,308.3,1719,48.1,104.3,0,0
424,10-06-2026,B,CB,CB01,MC-CB01,298,307.4,1371,38.3,45.8,0,0
425,10-06-2026,B,CB,CB02,MC-CB02,301.7,309.8,1595,37.4,83.7,0,0
426,10-06-2026,B,BP,BP03,MC-BP03,295.8,304.8,1426,18,86.3,0,0
427,10-06-2026,B,PS,PS01,MC-PS01,297.2,305.9,1515,47.6,46.9,0,0
428,10-06-2026,B,PS,PS02,MC-PS02,301.1,311.4,1292,52,156.1,0,0
429,10-06-2026,B,PS,PS03,MC-PS03,296.9,307.5,1571,37.6,226.4,0.005,0
430,10-06-2026,B,PS,PS04,MC-PS04,296.7,305.8,1683,38.8,154.1,0,0
431,10-06-2026,B,WB,WB01,MC-WB01,297.9,308,1365,54,126,0,0
432,10-06-2026,B,WB,WB03,MC-WB03,299.2,307.7,1521,44.8,57.5,0,0
433,10-06-2026,B,FA,FA02,MC-FA02,298.2,307.7,1408,47.1,184.3,0,0
434,10-06-2026,B,FI,FI02,MC-FI02,292.9,303.7,1479,28.4,16.6,0,0
435,10-06-2026,B,FI,FI03,MC-FI03,299.1,308.9,1523,32.2,16.6,0,0
436,10-06-2026,C,EA,EA01,MC-EA01,299.6,309.5,1481,46.7,150.5,0,0
437,10-06-2026,C,EA,EA02,MC-EA02,297.9,307.6,1580,37.9,81.2,0,0
438,10-06-2026,C,EA,EA03,MC-EA03,296.8,308.1,1820,33.4,172.1,0,0
439,10-06-2026,C,CB,CB01,MC-CB01,299.7,307.9,1710,50.1,208.2,0,0
440,10-06-2026,C,CB,CB02,MC-CB02,294.2,306.1,1741,42.6,172.9,0,0
441,10-06-2026,C,BP,BP03,MC-BP03,298.5,309.7,1824,51.2,62.3,0,0
442,10-06-2026,C,PS,PS01,MC-PS01,300.3,310.3,1478,50,33.2,0,0
443,10-06-2026,C,PS,PS02,MC-PS02,295.9,304.8,1404,29,184.2,0,0
444,10-06-2026,C,PS,PS03,MC-PS03,295.8,306,1517,42.6,142.5,0,0
445,10-06-2026,C,PS,PS04,MC-PS04,295.7,305.1,1551,31.6,149.4,0,0
446,10-06-2026,C,WB,WB01,MC-WB01,298.4,309.7,1199,51.9,43.3,0,0
447,10-06-2026,C,WB,WB03,MC-WB03,293.9,304.9,1491,24.4,222.3,0,0
448,10-06-2026,C,FA,FA02,MC-FA02,296.3,306.5,1350,38,24.4,0,0
449,10-06-2026,C,FI,FI02,MC-FI02,296.7,308,1234,40.6,91.1,0,0
450,10-06-2026,C,FI,FI03,MC-FI03,299.3,311.6,1738,30.4,92.5,0,0
451,11-06-2026,A,EA,EA01,MC-EA01,297.1,308.8,1530,40.1,125.5,0,0
452,11-06-2026,A,EA,EA02,MC-EA02,295.4,305.1,1540,39.6,239.3,0,0
453,11-06-2026,A,EA,EA03,MC-EA03,297.1,306.9,1796,56.9,230.7,0.095,0
454,11-06-2026,A,CB,CB01,MC-CB01,296.5,306.2,1567,43.4,204.2,0,0
455,11-06-2026,A,CB,CB02,MC-CB02,298.3,309.3,1582,40.4,196.5,0,0
456,11-06-2026,A,BP,BP03,MC-BP03,296,305.9,1684,40,122.5,0.005,0
457,11-06-2026,A,PS,PS01,MC-PS01,297,308.2,1334,35.9,147.4,0,0
458,11-06-2026,A,PS,PS02,MC-PS02,296.1,305.4,1388,34.1,105.4,0,0
459,11-06-2026,A,PS,PS03,MC-PS03,305,315.4,1677,31.2,39.6,0,0
460,11-06-2026,A,PS,PS04,MC-PS04,298.3,308.7,1455,35.7,165.1,0,0
461,11-06-2026,A,WB,WB01,MC-WB01,298.9,307.4,1754,50.4,15.6,0,0
462,11-06-2026,A,WB,WB03,MC-WB03,299.1,308.1,1378,44,13.6,0,0
463,11-06-2026,A,FA,FA02,MC-FA02,297.2,308.6,1307,54.6,241.4,0.39,1
464,11-06-2026,A,FI,FI02,MC-FI02,302.1,311,1315,28.8,115,0,0
465,11-06-2026,A,FI,FI03,MC-FI03,302.9,312.3,1455,48.3,203.9,0,0
466,11-06-2026,B,EA,EA01,MC-EA01,299,310.7,1736,23.2,43.2,0,0
467,11-06-2026,B,EA,EA02,MC-EA02,299.8,309.1,1553,44.2,70.3,0,0
468,11-06-2026,B,EA,EA03,MC-EA03,298.3,307.7,1454,33.8,214.1,0,0
469,11-06-2026,B,CB,CB01,MC-CB01,300,310.4,1655,35.5,138.2,0,0
470,11-06-2026,B,CB,CB02,MC-CB02,298.7,309,1244,21.9,53.3,0,0
471,11-06-2026,B,BP,BP03,MC-BP03,296.4,306,1186,72.4,38.2,0.015,0
472,11-06-2026,B,PS,PS01,MC-PS01,294.9,306,1477,42.5,67.5,0,0
473,11-06-2026,B,PS,PS02,MC-PS02,299.2,311.5,1423,40.4,234.8,0.045,0
474,11-06-2026,B,PS,PS03,MC-PS03,300.7,311.1,1440,48.1,51.8,0,0
475,11-06-2026,B,PS,PS04,MC-PS04,298.7,310.6,1404,38.3,187.7,0,0
476,11-06-2026,B,WB,WB01,MC-WB01,297.7,307.3,1432,42.4,180.2,0,0
477,11-06-2026,B,WB,WB03,MC-WB03,299.4,309.7,1451,47,45,0,0
478,11-06-2026,B,FA,FA02,MC-FA02,298.6,309.1,1434,50,41.7,0,0
479,11-06-2026,B,FI,FI02,MC-FI02,297,307.3,1312,35.4,51.4,0,0
480,11-06-2026,B,FI,FI03,MC-FI03,301.2,311.6,1354,38.9,152.6,0,0
481,11-06-2026,C,EA,EA01,MC-EA01,300.4,312.8,1798,51.4,227.2,0.12,0
482,11-06-2026,C,EA,EA02,MC-EA02,298.2,309,1678,44.3,67,0,0
483,11-06-2026,C,EA,EA03,MC-EA03,302,312.7,1290,41.4,69.8,0,0
484,11-06-2026,C,CB,CB01,MC-CB01,296.2,305.7,1351,55.9,229.6,0.12,0
485,11-06-2026,C,CB,CB02,MC-CB02,300,309.9,1235,58.3,19.2,0.01,0
486,11-06-2026,C,BP,BP03,MC-BP03,299.1,309,1557,42.5,227.5,0.03,0
487,11-06-2026,C,PS,PS01,MC-PS01,294.6,303,1673,28.3,66.7,0,0
488,11-06-2026,C,PS,PS02,MC-PS02,298.7,307.6,1521,39.8,220.3,0,0
489,11-06-2026,C,PS,PS03,MC-PS03,296.8,307.2,1700,37,83.7,0,0
490,11-06-2026,C,PS,PS04,MC-PS04,299.2,308.8,1178,27,195.7,0,0
491,11-06-2026,C,WB,WB01,MC-WB01,298.2,311.7,1604,35.8,215.5,0,0
492,11-06-2026,C,WB,WB03,MC-WB03,298.3,308.9,1562,39.4,112.2,0,0
493,11-06-2026,C,FA,FA02,MC-FA02,300.1,309.4,1566,34.1,62,0,0
494,11-06-2026,C,FI,FI02,MC-FI02,298.7,309.3,1504,40.3,35.8,0,0
495,11-06-2026,C,FI,FI03,MC-FI03,299.4,308.7,1524,47.7,248.6,0.395,1
496,12-06-2026,A,EA,EA01,MC-EA01,295.7,305.7,1622,43.4,189.5,0,0
497,12-06-2026,A,EA,EA02,MC-EA02,296.2,307.4,1344,21.9,98.7,0,0
498,12-06-2026,A,EA,EA03,MC-EA03,299,308.7,1345,29.4,206.9,0,0
499,12-06-2026,A,CB,CB01,MC-CB01,297.9,309.5,1365,31.2,245.1,0.025,0
500,12-06-2026,A,CB,CB02,MC-CB02,297.8,309.1,1481,39.7,128.3,0,0
501,12-06-2026,A,BP,BP03,MC-BP03,295.7,304.7,1162,33.1,83,0,0
502,12-06-2026,A,PS,PS01,MC-PS01,300,307.8,1607,57,33.3,0,0
503,12-06-2026,A,PS,PS02,MC-PS02,301.8,311.8,1748,47.2,102.4,0.005,0
504,12-06-2026,A,PS,PS03,MC-PS03,296.9,307.7,1647,41.4,78.8,0,0
505,12-06-2026,A,PS,PS04,MC-PS04,294.4,304.1,1429,43.9,22,0,0
506,12-06-2026,A,WB,WB01,MC-WB01,296.5,307.3,1363,36.7,248.2,0.07,0
507,12-06-2026,A,WB,WB03,MC-WB03,301.4,312.6,1468,39.9,153.7,0,0
508,12-06-2026,A,FA,FA02,MC-FA02,299.6,309,1657,47.9,85.9,0,0
509,12-06-2026,A,FI,FI02,MC-FI02,297.1,308,1462,18.7,94.3,0,0
510,12-06-2026,A,FI,FI03,MC-FI03,295.6,306.9,1678,26.4,7.2,0,0
511,12-06-2026,B,EA,EA01,MC-EA01,296.3,305,1474,41.8,128.9,0,0
512,12-06-2026,B,EA,EA02,MC-EA02,297,307.4,1419,55.2,65.8,0,0
513,12-06-2026,B,EA,EA03,MC-EA03,299.3,309,1654,48.8,38.8,0,0
514,12-06-2026,B,CB,CB01,MC-CB01,297.8,307.6,1545,42.5,221,0.01,0
515,12-06-2026,B,CB,CB02,MC-CB02,297.8,307,1468,33.5,125.7,0,0
516,12-06-2026,B,BP,BP03,MC-BP03,301.7,312.8,1552,35,194.5,0,0
517,12-06-2026,B,PS,PS01,MC-PS01,300.1,310.2,1495,19.9,232.4,0.005,0
518,12-06-2026,B,PS,PS02,MC-PS02,295.6,305.4,1632,54.7,200.2,0,0
519,12-06-2026,B,PS,PS03,MC-PS03,298.1,308.7,1262,52.6,159.9,0,0
520,12-06-2026,B,PS,PS04,MC-PS04,297.9,308.1,1342,47.3,166,0,0
521,12-06-2026,B,WB,WB01,MC-WB01,299.2,308.8,1744,45.6,187.7,0,0
522,12-06-2026,B,WB,WB03,MC-WB03,301.7,311.8,1573,29.8,149.2,0,0
523,12-06-2026,B,FA,FA02,MC-FA02,296.5,305.6,1659,40.2,19,0,0
524,12-06-2026,B,FI,FI02,MC-FI02,301.1,312.5,1435,37.7,218.2,0,0
525,12-06-2026,B,FI,FI03,MC-FI03,298.6,307,1499,40.2,220.7,0,0
526,12-06-2026,C,EA,EA01,MC-EA01,295.7,305.7,1814,39,101.1,0,0
527,12-06-2026,C,EA,EA02,MC-EA02,301,309.6,1782,34.2,193.6,0,0
528,12-06-2026,C,EA,EA03,MC-EA03,296.3,305.9,1616,38.6,185.2,0,0
529,12-06-2026,C,CB,CB01,MC-CB01,295.6,306.1,1490,24.5,140.4,0,0
530,12-06-2026,C,CB,CB02,MC-CB02,300.2,310.3,1393,20.3,65.4,0,0
531,12-06-2026,C,BP,BP03,MC-BP03,296.9,304.6,1208,39.9,162.6,0,0
532,12-06-2026,C,PS,PS01,MC-PS01,300.5,309.4,1628,37.2,246.8,0.2,0
533,12-06-2026,C,PS,PS02,MC-PS02,296.3,305.1,1339,38.8,192.6,0,0
534,12-06-2026,C,PS,PS03,MC-PS03,297.9,308.5,1393,34.1,219.8,0,0
535,12-06-2026,C,PS,PS04,MC-PS04,299.2,310.6,1114,50.7,99.2,0,0
536,12-06-2026,C,WB,WB01,MC-WB01,296.1,306.2,1714,55.2,90.6,0,0
537,12-06-2026,C,WB,WB03,MC-WB03,296.1,306,1190,35.9,116.9,0,0
538,12-06-2026,C,FA,FA02,MC-FA02,297.3,307.7,1594,43.9,42.9,0,0
539,12-06-2026,C,FI,FI02,MC-FI02,301.2,311,1423,30.1,65.9,0,0
540,12-06-2026,C,FI,FI03,MC-FI03,301.5,311.3,1625,37.6,239.6,0.01,0
541,13-06-2026,A,EA,EA01,MC-EA01,298.9,309.5,1219,37.5,124.6,0,0
542,13-06-2026,A,EA,EA02,MC-EA02,298.8,308.8,1596,42.7,17.8,0,0
543,13-06-2026,A,EA,EA03,MC-EA03,299.4,308.1,1606,33.5,38.5,0,0
544,13-06-2026,A,CB,CB01,MC-CB01,298.6,309.6,1432,43,237,0.07,0
545,13-06-2026,A,CB,CB02,MC-CB02,301.2,311.1,1607,40.6,111.4,0,0
546,13-06-2026,A,BP,BP03,MC-BP03,299.6,310.5,1739,38.1,96.3,0,0
547,13-06-2026,A,PS,PS01,MC-PS01,297.2,306.5,1375,34.6,221.5,0,0
548,13-06-2026,A,PS,PS02,MC-PS02,296.8,306,1283,31.8,163.2,0,0
549,13-06-2026,A,PS,PS03,MC-PS03,300,310.8,1472,35.6,129.1,0,0
550,13-06-2026,A,PS,PS04,MC-PS04,295.6,306.1,1496,37.5,120.5,0,0
551,13-06-2026,A,WB,WB01,MC-WB01,301.2,310.1,1762,36.8,239.7,0.01,0
552,13-06-2026,A,WB,WB03,MC-WB03,298.2,309.2,1488,50.6,223.4,0.33,1
553,13-06-2026,A,FA,FA02,MC-FA02,302.1,311.2,1521,30.4,146.1,0,0
554,13-06-2026,A,FI,FI02,MC-FI02,298.8,309.7,1593,42.3,4.6,0,0
555,13-06-2026,A,FI,FI03,MC-FI03,298,307.6,1165,50.2,103.8,0,0
556,13-06-2026,B,EA,EA01,MC-EA01,299.1,309.4,1770,34.2,145.1,0,0
557,13-06-2026,B,EA,EA02,MC-EA02,297.2,308.3,1572,23.4,53.9,0,0
558,13-06-2026,B,EA,EA03,MC-EA03,300.5,311.2,1580,26.5,226,0.005,0
559,13-06-2026,B,CB,CB01,MC-CB01,297.2,309,1503,38.8,155.5,0,0
560,13-06-2026,B,CB,CB02,MC-CB02,295.8,305.7,1313,35.3,38,0,0
561,13-06-2026,B,BP,BP03,MC-BP03,296.4,305.8,1504,59.1,48.6,0,0
562,13-06-2026,B,PS,PS01,MC-PS01,299.8,308.9,1430,59.2,89.6,0,0
563,13-06-2026,B,PS,PS02,MC-PS02,293.5,302.6,1492,28.1,230.5,0.005,0
564,13-06-2026,B,PS,PS03,MC-PS03,299.2,308.9,1464,32.4,53.3,0,0
565,13-06-2026,B,PS,PS04,MC-PS04,300.1,309.1,1504,38.7,204.5,0,0
566,13-06-2026,B,WB,WB01,MC-WB01,294.3,303.3,1822,40.2,19.2,0,0
567,13-06-2026,B,WB,WB03,MC-WB03,300.2,312.2,1585,49.1,159.7,0.005,0
568,13-06-2026,B,FA,FA02,MC-FA02,298.4,308.1,1296,57.9,98.7,0,0
569,13-06-2026,B,FI,FI02,MC-FI02,297.1,308.1,1460,32.2,147.9,0,0
570,13-06-2026,B,FI,FI03,MC-FI03,299.5,309.6,1405,50.5,78.9,0,0
571,13-06-2026,C,EA,EA01,MC-EA01,298,307.8,988,36.3,130.9,0,0
572,13-06-2026,C,EA,EA02,MC-EA02,302.9,313,1881,38.8,229.8,0,0
573,13-06-2026,C,EA,EA03,MC-EA03,294.3,306.1,1323,38.4,48.6,0,0
574,13-06-2026,C,CB,CB01,MC-CB01,295.5,305,1726,27.5,48.8,0,0
575,13-06-2026,C,CB,CB02,MC-CB02,299.5,310,1631,47.6,58.3,0.005,0
576,13-06-2026,C,BP,BP03,MC-BP03,300.1,310.6,1753,40.5,207.7,0.005,0
577,13-06-2026,C,PS,PS01,MC-PS01,294,304.3,1733,38.2,173.2,0,0
578,13-06-2026,C,PS,PS02,MC-PS02,294.6,304.9,1322,41.8,145.9,0,0
579,13-06-2026,C,PS,PS03,MC-PS03,300.3,310,1487,51.2,250,0.99,1
580,13-06-2026,C,PS,PS04,MC-PS04,295.9,305.5,1380,28.7,108,0,0
581,13-06-2026,C,WB,WB01,MC-WB01,300.3,311.5,1478,28.8,188.1,0,0
